DistAlong,Variant,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
900.000000,PlacementRelTo+2.5,1255.327511,2010.632703,118.250000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
900.000000,PlacementRelTo-2.5,1255.327511,2010.632703,113.250000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
1000.000000,OffsetVertical+2.5,1339.216078,1956.282344,119.999617,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
1000.000000,OffsetVertical-2.5,1339.289502,1956.234774,115.000383,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
1000.000000,PlacementRelTo+2.5,1339.252790,1956.258559,120.000000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
1000.000000,PlacementRelTo-2.5,1339.252790,1956.258559,115.000000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
1100.000000,OffsetVertical+2.5,1423.141357,1901.908200,121.749617,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
1100.000000,OffsetVertical-2.5,1423.214781,1901.860630,116.750383,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
1100.000000,PlacementRelTo+2.5,1423.178069,1901.884415,121.750000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
1100.000000,PlacementRelTo-2.5,1423.178069,1901.884415,116.750000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
1200.000000,OffsetVertical+2.5,1507.066636,1847.534056,123.499617,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
1200.000000,OffsetVertical-2.5,1507.140060,1847.486486,118.500383,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
1200.000000,PlacementRelTo+2.5,1507.103348,1847.510271,123.500000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
1200.000000,PlacementRelTo-2.5,1507.103348,1847.510271,118.500000,0.839124,-0.543658,0.017497,0.543741,0.839253,0.000000,-0.014685,0.009514,0.999847
1300.000000,OffsetVertical+2.5,1590.995520,1793.157576,125.163751,0.839148,-0.543674,0.015779,0.543741,0.839253,-0.000000,-0.013243,0.008580,0.999875
1300.000000,OffsetVertical-2.5,1591.061734,1793.114677,120.164374,0.839148,-0.543674,0.015779,0.543741,0.839253,-0.000000,-0.013243,0.008580,0.999875
1300.000000,PlacementRelTo+2.5,1591.028627,1793.136127,125.164062,0.839148,-0.543674,0.015779,0.543741,0.839253,-0.000000,-0.013243,0.008580,0.999875
1300.000000,PlacementRelTo-2.5,1591.028627,1793.136127,120.164062,0.839148,-0.543674,0.015779,0.543741,0.839253,-0.000000,-0.013243,0.008580,0.999875
1400.000000,OffsetVertical+2.5,1674.924404,1738.781097,126.656003,0.839170,-0.543688,0.014061,0.543741,0.839253,-0.000000,-0.011801,0.007646,0.999901
1400.000000,OffsetVertical-2.5,1674.983408,1738.742869,121.656497,0.839170,-0.543688,0.014061,0.543741,0.839253,-0.000000,-0.011801,0.007646,0.999901
1400.000000,PlacementRelTo+2.5,1674.953906,1738.761983,126.656250,0.839170,-0.543688,0.014061,0.543741,0.839253,-0.000000,-0.011801,0.007646,0.999901
1400.000000,PlacementRelTo-2.5,1674.953906,1738.761983,121.656250,0.839170,-0.543688,0.014061,0.543741,0.839253,-0.000000,-0.011801,0.007646,0.999901
1500.000000,OffsetVertical+2.5,1758.853288,1684.404617,127.976372,0.839189,-0.543700,0.012343,0.543741,0.839253,0.000000,-0.010359,0.006711,0.999924
1500.000000,OffsetVertical-2.5,1758.905082,1684.371060,122.976753,0.839189,-0.543700,0.012343,0.543741,0.839253,0.000000,-0.010359,0.006711,0.999924
1500.000000,PlacementRelTo+2.5,1758.879185,1684.387839,127.976563,0.839189,-0.543700,0.012343,0.543741,0.839253,0.000000,-0.010359,0.006711,0.999924
1500.000000,PlacementRelTo-2.5,1758.879185,1684.387839,122.976563,0.839189,-0.543700,0.012343,0.543741,0.839253,0.000000,-0.010359,0.006711,0.999924
1600.000000,OffsetVertical+2.5,1842.782173,1630.028137,129.124859,0.839205,-0.543711,0.010624,0.543741,0.839253,0.000000,-0.008917,0.005777,0.999944
1600.000000,OffsetVertical-2.5,1842.826755,1629.999252,124.125141,0.839205,-0.543711,0.010624,0.543741,0.839253,0.000000,-0.008917,0.005777,0.999944
1600.000000,PlacementRelTo+2.5,1842.804464,1630.013695,129.125000,0.839205,-0.543711,0.010624,0.543741,0.839253,0.000000,-0.008917,0.005777,0.999944
1600.000000,PlacementRelTo-2.5,1842.804464,1630.013695,124.125000,0.839205,-0.543711,0.010624,0.543741,0.839253,0.000000,-0.008917,0.005777,0.999944
1700.000000,OffsetVertical+2.5,1926.711057,1575.651657,130.101463,0.839220,-0.543720,0.008906,0.543741,0.839253,0.000000,-0.007474,0.004843,0.999960
1700.000000,OffsetVertical-2.5,1926.748429,1575.627444,125.101662,0.839220,-0.543720,0.008906,0.543741,0.839253,0.000000,-0.007474,0.004843,0.999960
1700.000000,PlacementRelTo+2.5,1926.729743,1575.639551,130.101562,0.839220,-0.543720,0.008906,0.543741,0.839253,0.000000,-0.007474,0.004843,0.999960
1700.000000,PlacementRelTo-2.5,1926.729743,1575.639551,125.101563,0.839220,-0.543720,0.008906,0.543741,0.839253,0.000000,-0.007474,0.004843,0.999960
1800.000000,OffsetVertical+2.5,2010.639942,1521.275177,130.906185,0.839231,-0.543727,0.007187,0.543741,0.839253,0.000000,-0.006032,0.003908,0.999974
1800.000000,OffsetVertical-2.5,2010.670102,1521.255636,125.906315,0.839231,-0.543727,0.007187,0.543741,0.839253,0.000000,-0.006032,0.003908,0.999974
1800.000000,PlacementRelTo+2.5,2010.655022,1521.265406,130.906250,0.839231,-0.543727,0.007187,0.543741,0.839253,0.000000,-0.006032,0.003908,0.999974
1800.000000,PlacementRelTo-2.5,2010.655022,1521.265406,125.906250,0.839231,-0.543727,0.007187,0.543741,0.839253,0.000000,-0.006032,0.003908,0.999974
1900.000000,OffsetVertical+2.5,2094.568827,1466.898696,131.539025,0.839240,-0.543733,0.005469,0.543741,0.839253,0.000000,-0.004590,0.002974,0.999985
1900.000000,OffsetVertical-2.5,2094.591775,1466.883828,126.539100,0.839240,-0.543733,0.005469,0.543741,0.839253,0.000000,-0.004590,0.002974,0.999985
1900.000000,PlacementRelTo+2.5,2094.580301,1466.891262,131.539062,0.839240,-0.543733,0.005469,0.543741,0.839253,0.000000,-0.004590,0.002974,0.999985
1900.000000,PlacementRelTo-2.5,2094.580301,1466.891262,126.539062,0.839240,-0.543733,0.005469,0.543741,0.839253,0.000000,-0.004590,0.002974,0.999985
2000.000000,OffsetVertical+2.5,2178.993846,1413.312706,131.999982,0.861953,-0.506974,0.003750,0.506977,0.861959,0.000000,-0.003232,0.001901,0.999993
2000.000000,OffsetVertical-2.5,2179.010008,1413.303200,127.000018,0.861953,-0.506974,0.003750,0.506977,0.861959,0.000000,-0.003232,0.001901,0.999993
2000.000000,PlacementRelTo+2.5,2179.001927,1413.307953,132.000000,0.861953,-0.506974,0.003750,0.506977,0.861959,0.000000,-0.003232,0.001901,0.999993
2000.000000,PlacementRelTo-2.5,2179.001927,1413.307953,127.000000,0.861953,-0.506974,0.003750,0.506977,0.861959,0.000000,-0.003232,0.001901,0.999993
2100.000000,OffsetVertical+2.5,2267.582440,1367.003005,132.289057,0.908265,-0.418391,0.002031,0.418392,0.908266,-0.000000,-0.001845,0.000850,0.999998
2100.000000,OffsetVertical-2.5,2267.591665,1366.998756,127.289068,0.908265,-0.418391,0.002031,0.418392,0.908266,-0.000000,-0.001845,0.000850,0.999998
2100.000000,PlacementRelTo+2.5,2267.587052,1367.000880,132.289062,0.908265,-0.418391,0.002031,0.418392,0.908266,-0.000000,-0.001845,0.000850,0.999998
2100.000000,PlacementRelTo-2.5,2267.587052,1367.000880,127.289062,0.908265,-0.418391,0.002031,0.418392,0.908266,-0.000000,-0.001845,0.000850,0.999998
2200.000000,OffsetVertical+2.5,2360.351876,1329.769160,132.406250,0.945498,-0.325627,0.000312,0.325627,0.945498,-0.000000,-0.000295,0.000102,1.000000
2200.000000,OffsetVertical-2.5,2360.353353,1329.768651,127.406250,0.945498,-0.325627,0.000312,0.325627,0.945498,-0.000000,-0.000295,0.000102,1.000000
2200.000000,PlacementRelTo+2.5,2360.352614,1329.768906,132.406250,0.945498,-0.325627,0.000312,0.325627,0.945498,-0.000000,-0.000295,0.000102,1.000000
2200.000000,PlacementRelTo-2.5,2360.352614,1329.768906,127.406250,0.945498,-0.325627,0.000312,0.325627,0.945498,-0.000000,-0.000295,0.000102,1.000000
2300.000000,OffsetVertical+2.5,2456.375152,1301.983232,132.351560,0.973282,-0.229607,-0.001406,0.229608,0.973283,0.000000,0.001369,-0.000323,0.999999
2300.000000,OffsetVertical-2.5,2456.368309,1301.984846,127.351565,0.973282,-0.229607,-0.001406,0.229608,0.973283,0.000000,0.001369,-0.000323,0.999999
2300.000000,PlacementRelTo+2.5,2456.371730,1301.984039,132.351562,0.973282,-0.229607,-0.001406,0.229608,0.973283,0.000000,0.001369,-0.000323,0.999999
