dist_along,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.894427,0.000000
3.280840,0.000000,0.899761,0.000000
6.561680,0.000000,0.905024,0.000000
9.842520,0.000000,0.910211,0.000000
13.123360,0.000000,0.915315,0.000000
16.404199,0.000000,0.920331,0.000000
19.685039,0.000000,0.925252,0.000000
22.965879,0.000000,0.930072,0.000000
26.246719,0.000000,0.934784,0.000000
29.527559,0.000000,0.939381,0.000000
32.808399,0.000000,0.943858,0.000000
36.089239,0.000000,0.948208,0.000000
39.370079,0.000000,0.952424,0.000000
42.650919,0.000000,0.956500,0.000000
45.931759,0.000000,0.960429,0.000000
49.212598,0.000000,0.964205,0.000000
52.493438,0.000000,0.967823,0.000000
55.774278,0.000000,0.971274,0.000000
59.055118,0.000000,0.974555,0.000000
62.335958,0.000000,0.977659,0.000000
65.616798,0.000000,0.980581,0.000000
68.897638,0.000000,0.983315,0.000000
72.178478,0.000000,0.985856,0.000000
75.459318,0.000000,0.988200,0.000000
78.740157,0.000000,0.990342,0.000000
82.020997,0.000000,0.992278,0.000000
85.301837,0.000000,0.994004,0.000000
88.582677,0.000000,0.995518,0.000000
91.863517,0.000000,0.996815,0.000000
95.144357,0.000000,0.997894,0.000000
98.425197,0.000000,0.998752,0.000000
101.706037,0.000000,0.999388,0.000000
104.986877,0.000000,0.999800,0.000000
108.267717,0.000000,0.999988,0.000000
111.548556,0.000000,0.999950,0.000000
114.829396,0.000000,0.999688,0.000000
118.110236,0.000000,0.999201,0.000000
121.391076,0.000000,0.998491,0.000000
124.671916,0.000000,0.997559,0.000000
127.952756,0.000000,0.996407,0.000000
131.233596,0.000000,0.995037,0.000000
134.514436,0.000000,0.993452,0.000000
137.795276,0.000000,0.991656,0.000000
141.076115,0.000000,0.989650,0.000000
144.356955,0.000000,0.987441,0.000000
147.637795,0.000000,0.985030,0.000000
150.918635,0.000000,0.982424,0.000000
154.199475,0.000000,0.979627,0.000000
157.480315,0.000000,0.976644,0.000000
160.761155,0.000000,0.973481,0.000000
164.041995,0.000000,0.970143,0.000000
167.322835,0.000000,0.966635,0.000000
170.603675,0.000000,0.962964,0.000000
173.884514,0.000000,0.959136,0.000000
177.165354,0.000000,0.955157,0.000000
180.446194,0.000000,0.951034,0.000000
183.727034,0.000000,0.946773,0.000000
187.007874,0.000000,0.942380,0.000000
190.288714,0.000000,0.937862,0.000000
193.569554,0.000000,0.933225,0.000000
196.850394,0.000000,0.928477,0.000000
200.131234,0.000000,0.923623,0.000000
203.412073,0.000000,0.918669,0.000000
206.692913,0.000000,0.913623,0.000000
209.973753,0.000000,0.908490,0.000000
213.254593,0.000000,0.903278,0.000000
216.535433,0.000000,0.897990,0.000000
219.816273,0.000000,0.892635,0.000000
223.097113,0.000000,0.887217,0.000000
226.377953,0.000000,0.881742,0.000000
229.658793,0.000000,0.876216,0.000000
232.939633,0.000000,0.870644,0.000000
236.220472,0.000000,0.865031,0.000000
239.501312,0.000000,0.859383,0.000000
242.782152,0.000000,0.853704,0.000000
246.062992,0.000000,0.847998,0.000000
249.343832,0.000000,0.842271,0.000000
252.624672,0.000000,0.836527,0.000000
255.905512,0.000000,0.830770,0.000000
259.186352,0.000000,0.825004,0.000000
262.467192,0.000000,0.819232,0.000000
265.748031,0.000000,0.813459,0.000000
269.028871,0.000000,0.807687,0.000000
272.309711,0.000000,0.801920,0.000000
275.590551,0.000000,0.796162,0.000000
278.871391,0.000000,0.790415,0.000000
282.152231,0.000000,0.784682,0.000000
285.433071,0.000000,0.778965,0.000000
288.713911,0.000000,0.773268,0.000000
291.994751,0.000000,0.767592,0.000000
295.275591,0.000000,0.761939,0.000000
298.556430,0.000000,0.756313,0.000000
301.837270,0.000000,0.750714,0.000000
305.118110,0.000000,0.745144,0.000000
308.398950,0.000000,0.739605,0.000000
311.679790,0.000000,0.734099,0.000000
314.960630,0.000000,0.728628,0.000000
318.241470,0.000000,0.723191,0.000000
321.522310,0.000000,0.717792,0.000000
324.803150,0.000000,0.712430,0.000000
328.083990,0.000000,0.707107,0.000000
